Ref,Val,Package,PosX,PosY,Rot,Side
"C32","0.1µF","C_0402_1005Metric",158.877000,-84.531200,0.000000,bottom
"C33","0.1µF","C_0402_1005Metric",157.505400,-56.370400,180.000000,bottom
"C39","0.1µF","C_0402_1005Metric",67.614800,-64.795400,180.000000,bottom
"J3","USB_C_USB2.0_16P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",201.244200,-93.929200,-90.000000,bottom
"R20","5.1k","R_0402_1005Metric",197.664800,-99.972400,0.000000,bottom
"R25","5.1k","R_0402_1005Metric",197.639400,-87.907400,0.000000,bottom
"R26","30k","R_0402_1005Metric",97.155000,-56.235600,180.000000,bottom
"R28","30k","R_0402_1005Metric",94.996000,-56.252200,180.000000,bottom
"SW2","SW_DIP_x04","SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm",83.312000,-61.154400,180.000000,bottom
"U22","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",65.278000,-60.833000,0.000000,bottom
