Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","30pF","C_0402_1005Metric",62.964600,-135.754200,0.000000,top
"C2","25pF","C_0402_1005Metric",67.894200,-116.374000,0.000000,top
"C3","1nF","C_0402_1005Metric",70.764400,-115.586600,-90.000000,top
"C4","25pF","C_0402_1005Metric",64.668400,-116.272400,180.000000,top
"C5","1µF","C_0603_1608Metric",91.389200,-136.516200,180.000000,top
"C6","0.1µF","C_0402_1005Metric",94.221600,-136.246600,0.000000,top
"C7","0.1µF","C_0402_1005Metric",98.552000,-131.622800,-90.000000,top
"C8","1µF","C_0603_1608Metric",72.771000,-115.332600,0.000000,top
"C9","10µF 16V","C_0603_1608Metric",98.806000,-123.460600,-90.000000,top
"C10","1µF","C_0603_1608Metric",120.396000,-115.713600,0.000000,top
"C11","22µF 25V X5R","C_0805_2012Metric",106.299000,-126.889600,-90.000000,top
"C12","0.1µF","C_0402_1005Metric",119.684800,-92.625000,180.000000,top
"C13","0.1µF","C_0402_1005Metric",120.142000,-63.770600,90.000000,top
"C14","1µF","C_0603_1608Metric",112.776000,-69.358600,-90.000000,top
"C15","0.1µF","C_0402_1005Metric",109.474000,-70.425400,180.000000,top
"C16","0.1µF","C_0402_1005Metric",136.652000,-124.095600,0.000000,top
"C17","0.1µF","C_0402_1005Metric",136.652000,-110.887600,0.000000,top
"C18","0.1µF","C_0402_1005Metric",122.682000,-113.300600,-90.000000,top
"C19","0.1µF","C_0402_1005Metric",129.895600,-85.919400,90.000000,top
"C20","1µF","C_0603_1608Metric",122.682000,-91.507400,-90.000000,top
"C21","0.1µF","C_0402_1005Metric",136.906000,-99.110800,0.000000,top
"C22","0.1µF","C_0402_1005Metric",130.937000,-73.168600,90.000000,top
"C27","0.1µF","C_0402_1005Metric",137.109200,-53.619400,0.000000,top
"C28","0.1µF","C_0402_1005Metric",170.535600,-135.017604,180.000000,top
"C29","0.1µF","C_0402_1005Metric",150.622000,-135.144600,180.000000,top
"C30","0.1µF","C_0402_1005Metric",172.339000,-112.157600,180.000000,top
"C31","0.1µF","C_0402_1005Metric",168.224200,-100.533200,90.000000,top
"C34","15pF","C_0402_1005Metric",174.650400,-90.119200,90.000000,top
"C35","15pF","C_0402_1005Metric",171.221400,-90.500200,90.000000,top
"C36","0.1µF","C_0402_1005Metric",173.685200,-104.055000,-90.000000,top
"C37","4.7µF","C_0805_2012Metric",193.626200,-91.768200,0.000000,top
"C38","0.1µF","C_0402_1005Metric",193.550000,-90.168000,0.000000,top
"C40","10µF","C_0603_1608Metric",172.716600,-66.893100,-90.000000,top
"C41","10µF","C_0603_1608Metric",181.991000,-58.420000,90.000000,top
"C42","15pF","C_0402_1005Metric",172.161200,-72.898000,90.000000,top
"C43","15pF","C_0402_1005Metric",175.006000,-70.307200,180.000000,top
"C44","0.1µF","C_0402_1005Metric",175.437800,-77.571600,180.000000,top
"C45","0.1µF","C_0402_1005Metric",184.429400,-85.623400,-90.000000,top
"C46","0.1µF","C_0402_1005Metric",178.511200,-84.988400,180.000000,top
"C47","4.7µF","C_0805_2012Metric",171.881800,-79.809200,-90.000000,top
"C48","0.1µF","C_0402_1005Metric",180.390800,-71.630600,90.000000,top
"C49","0.1µF","C_0402_1005Metric",181.457600,-71.630600,90.000000,top
"C50","4.7µF","C_0805_2012Metric",191.312800,-81.299000,0.000000,top
"C51","0.1µF","C_0402_1005Metric",189.915800,-79.521000,180.000000,top
"C52","0.1µF","C_0402_1005Metric",192.354200,-79.470200,0.000000,top
"C53","4.7µF","C_0805_2012Metric",192.090000,-76.701600,0.000000,top
"C54","0.1µF","C_0402_1005Metric",189.738000,-74.701400,90.000000,top
"C55","0.01µF","C_0402_1005Metric",187.299600,-74.853800,90.000000,top
"C57","0.1µF","C_0402_1005Metric",117.373400,-129.667000,-90.000000,top
"C58","0.1µF","C_0402_1005Metric",121.539000,-128.016000,-90.000000,top
"C59","33µF 16V","C_1206_3216Metric",123.875800,-82.550000,-90.000000,top
"D1","GRN","D_0603_1608Metric",102.590600,-133.646000,-90.000000,top
"D2","GRN","D_0603_1608Metric",106.883200,-133.646000,-90.000000,top
"D4","GRN","D_0603_1608Metric",121.869200,-54.982200,-90.000000,top
"D5","GRN","D_0603_1608Metric",123.647200,-54.982200,-90.000000,top
"D6","GRN","D_0603_1608Metric",125.425200,-54.982200,-90.000000,top
"D7","GRN","D_0603_1608Metric",181.889500,-92.611000,180.000000,top
